top1,wom,sm,walk,billboard,patronage,importantconvenience,importantvariety,importantprice,importanthealthy,importanttaste,importantambience,chipotleconvenient,chipotlevariety,chipotleprice,chipotlehealthy,chipotletaste,chipotleambience,female,age,income,plan,spending,buylocal,healthyimportanttome,
In-n-out,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,0,33,23146,1,4,1,2,
El Pollo Loco,0,0,0,1,0,5,5,5,5,5,5,4,4,5,5,4,5,0,33,18631,1,2,1,1,
El Pollo Loco,0,0,1,0,0,4,4,5,5,5,5,3,3,3,3,3,3,,,,,,,,
Chipotle,1,0,0,0,0,5,5,5,5,5,5,4,4,3,5,3,3,0,44,30408,2,2,2,1,
El Pollo Loco,0,0,1,0,0,4,4,5,5,5,5,4,5,5,5,5,5,0,44,38756,1,3,1,1,
Subway,1,0,0,0,1,3,5,5,4,5,4,2,3,3,3,3,2,0,39,46736,1,4,1,1,
El Pollo Loco,0,0,0,0,3,,,,,,,,,,,,,0,58,21101,1,4,3,3,
El Pollo Loco,0,0,0,0,4,,,,,,,,,,,,,0,21,17330,1,2,1,2,
Chipotle,0,0,1,0,0,4,4,4,5,5,4,3,2,3,4,3,3,0,45,88962,1,3,2,1,
In-n-out,0,0,1,0,0,5,5,4,5,5,5,5,5,5,5,5,5,0,33,28117,2,4,2,1,
In-n-out,1,0,0,0,0,5,5,5,5,5,3,4,4,5,5,5,4,0,39,19460,2,3,2,2,
Chipole,1,0,0,0,0,5,4,2,2,5,4,4,3,2,4,,4,0,49,71493,3,4,2,3,
In-n-out,1,0,0,0,4,4,3,4,3,5,3,4,3,3,3,3,3,0,58,31482,2,4,2,4,
mcdonalds,1,1,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,0,32,24397,1,4,2,2,
In-n-out,1,0,1,0,0,4,4,4,4,5,4,4,5,5,5,5,4,0,35,20924,1,4,2,2,
panera bread,0,0,1,0,0,5,4,4,4,5,4,4,5,3,4,5,4,1,45,66648,1,4,1,2,
KFC,0,0,0,0,0,3,4,5,4,5,5,6,3,3,4,4,5,0,55,57404,2,4,2,2,
In-n-out,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,0,29,15332,1,1,1,1,
In-n-out,1,0,0,0,0,4,3,4,5,5,4,4,3,4,5,5,4,0,24,10157,2,2,2,1,
Mcdonalds,1,0,0,0,1,5,5,5,5,5,4,5,5,3,3,5,4,0,56,25152,5,5,5,5,
Chipotle,1,0,0,0,0,4,4,4,4,5,4,5,4,3,4,5,4,0,33,27529,2,4,1,1,
Panera,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,0,19,63255,1,1,1,1,
Panera,0,1,1,0,0,5,3,5,4,5,4,3,3,2,5,5,2,1,55,67983,2,4,2,1,
Panera,1,0,0,0,0,5,4,5,5,5,5,5,4,3,5,4,5,0,34,27244,1,4,2,2,
Chipotle,0,0,1,0,0,4,4,3,5,5,4,3,2,2,3,3,3,0,37,83082,1,4,1,1,
Chipotle,0,0,1,0,0,5,5,5,5,5,4,5,3,2,4,5,5,0,29,26778,1,4,2,1,
In-n-out,1,0,0,0,0,4,4,5,4,5,4,4,4,3,5,5,3,1,59,75777,2,3,2,2,
In-n-out,0,0,1,0,0,5,5,5,3,5,5,5,5,3,5,5,5,0,54,58036,1,4,2,1,
Subway,1,0,0,0,0,5,5,5,5,5,4,2,3,4,3,3,3,0,57,82425,2,4,2,1,
KFC,1,1,1,0,0,5,5,5,5,5,5,5,4,5,5,5,4,0,29,14472,1,3,1,2,
In-n-out,0,0,1,0,0,4,4,4,5,5,4,4,4,2,5,5,4,1,33,80682,5,3,2,1,
Subway,1,0,0,0,0,4,4,5,5,5,4,4,3,3,5,4,4,0,21,28482,1,4,1,1,
Panera,0,0,1,0,0,5,5,5,5,5,5,3,3,3,3,3,3,,,,,,,,
In-n-out,0,1,0,0,0,4,4,4,4,5,4,3,4,3,5,5,5,0,60,74211,3,3,2,2,
Panera,0,0,1,0,0,5,5,4,4,5,4,2,5,5,5,5,5,0,43,42644,1,2,2,2,
Subway,0,1,0,0,0,5,4,5,5,5,5,5,5,3,5,5,3,1,42,29442,1,4,2,1,
Subway,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,0,41,25062,1,2,1,1,
In-n-out,1,0,0,0,4,4,5,5,5,5,4,3,5,5,5,5,3,0,40,56304,1,3,1,1,
Subway,0,0,1,0,0,4,4,4,3,5,4,2,4,3,4,5,4,0,39,61332,2,2,1,2,
